Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,State,Country,Date first added,CIK,Founded,2019_july_1,2019_october_1,2020_january_2,2020_april_1,2020_june_30
GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Machinery,Lake Forest,Illinois,United States of America,1981-06-30,0000277135,,264.32,295.86,336.44,238.77,303.47
HRB,H&R Block,reports,Consumer Discretionary,Specialized Consumer Services,Kansas City,Missouri,United States of America,1986-11-30,0000012659,,27.89,22.63,22.84,13.1,14.21
HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,Houston,Texas,United States of America,,0000045012,1919,22.52,18.57,24.34,6.59,12.42
HBI,Hanesbrands Inc,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Winston-Salem,North Carolina,United States of America,2015-03-20,0001359841,2000,16.62,14.83,14.36,7.37,11.15
HOG,Harley-Davidson,reports,Consumer Discretionary,Motorcycle Manufacturers,Milwaukee,Wisconsin,United States of America,,0000793952,1903,35.3,35.14,36.99,17.74,23.84
HIG,Hartford Financial Svc.Gp.,reports,Financials,Property & Casualty Insurance,Hartford,Connecticut,United States of America,,0000874766,,54.62,59.59,60.08,33.81,38.33
HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,Pawtucket,Rhode Island,United States of America,1984-09-30,0000046080,,103.73,116.27,104.49,67.41,73.79
HCA,HCA Healthcare,reports,Health Care,Health Care Facilities,Nashville,Tennessee,United States of America,2015-01-27,0000860730,,135.06,119.98,147.66,83.92,96.2
PEAK,Healthpeak Properties,reports,Real Estate,Health Care REITs,Long Beach,California,United States of America,2008-03-31,0000765880,,30.69,34.4,33.73,21.79,27.18
HSIC,Henry Schein,reports,Health Care,Health Care Distributors,Melville,New York,United States of America,2015-03-17,0001000228,,70.28,63.32,67.19,50.67,58.06
HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,Hershey,Pennsylvania,United States of America,,0000047111,1894,131.92,152.34,145.66,127.63,127.61
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,New York,New York,United States of America,1984-05-31,0000004447,,63.99,60.15,66.65,32.02,49.94
HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals",Palo Alto,California,United States of America,2015-11-02,0001645590,2015,14.7,14.88,15.66,9.07,9.58
HLT,Hilton Worldwide Holdings Inc,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Tysons Corner,Virginia,United States of America,2017-06-19,0001585689,1919,98.54,93.17,110.98,65.0,73.92
HFC,HollyFrontier Corp,reports,Energy,Oil & Gas Refining & Marketing,Dallas,Texas,United States of America,2018-06-18,0000048039,,45.51,52.58,50.1,23.19,28.45
HOLX,Hologic,reports,Health Care,Health Care Equipment,Marlborough,Massachusetts,United States of America,2016-03-30,0000859737,,48.37,50.78,52.1,33.74,53.33
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,Atlanta,Georgia,United States of America,1988-03-31,0000354950,,204.51,228.63,216.33,174.87,246.12
HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,Morristown,New Jersey,United States of America,1964-03-31,0000773840,1906,172.66,166.57,175.25,127.34,143.24
HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,Austin,Minnesota,United States of America,2009-03-04,0000048465,,39.71,42.9,44.46,45.38,48.1
HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,Bethesda,Maryland,United States of America,2007-03-20,0001070750,,17.58,16.84,18.32,10.26,10.96
HPQ,HP Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals",Palo Alto,California,United States of America,1974-12-31,0000047217,1939 (2015),20.37,18.53,20.29,16.09,17.13
HUM,Humana Inc.,reports,Health Care,Managed Health Care,Louisville,Kentucky,United States of America,,0000049071,1961,264.87,254.61,365.78,299.5,379.36
HBAN,Huntington Bancshares,reports,Financials,Regional Banks,Columbus,Ohio,United States of America,,0000049196,1866,13.28,13.75,14.63,7.68,8.87
HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,Newport News,Virginia,United States of America,2018-01-03,0001501585,,222.35,209.72,249.56,173.73,177.41
IEX,IDEX Corporation,reports,Industrials,Industrial Machinery,Lake Forest,Illinois,United States of America,2019-08-09,0000832101,1988,171.7,163.23,171.74,132.3,154.39
IDXX,IDEXX Laboratories,reports,Health Care,Health Care Equipment,Westbrook,Maine,United States of America,2017-01-05,0000874716,,278.25,273.4,261.53,237.81,327.9
INFO,IHS Markit Ltd.,reports,Industrials,Research & Consulting Services,London,London,United Kingdom,2017-06-02,0001598014,,62.64,66.69,75.04,57.85,72.82
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,Glenview,Illinois,United States of America,1986-02-28,0000049826,,148.74,154.61,177.66,134.52,170.4
ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,San Diego,California,United States of America,2015-11-19,0001110803,,371.29,304.22,329.05,265.92,362.31
INCY,Incyte,reports,Health Care,Biotechnology,Wilmington,Delaware,United States of America,2017-02-28,0000879169,,85.8,73.53,86.91,72.05,102.48
IR,Ingersoll Rand,reports,Industrials,Industrial Machinery,Milwaukee,Wisconsin,United States of America,2020-03-03,0001699150,1859,32.48,26.88,35.43,23.53,28.11
INTC,Intel Corp.,reports,Information Technology,Semiconductors,Santa Clara,California,United States of America,1976-12-31,0000050863,,48.18,51.14,59.61,52.21,58.27
ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,Atlanta,Georgia,United States of America,2007-09-26,0001571949,2000,85.58,91.29,92.21,77.13,90.4
IBM,International Business Machines,reports,Information Technology,IT Consulting & Other Services,Armonk,New York,United States of America,,0000051143,1911,133.17,140.52,131.84,104.95,119.75
IP,International Paper,reports,Materials,Paper Packaging,Memphis,Tennessee,United States of America,,0000051434,1898,41.59,40.45,45.2,29.21,35.01
IPG,Interpublic Group,reports,Communication Services,Advertising,New York,New York,United States of America,1992-10-01,0000051644,,21.73,20.91,22.66,15.03,16.97
IFF,Intl Flavors & Fragrances,reports,Materials,Specialty Chemicals,New York,New York,United States of America,1976-03-31,0000051253,,142.87,120.67,127.66,97.58,121.88
INTU,Intuit Inc.,reports,Information Technology,Application Software,Mountain View,California,United States of America,2000-12-05,0000896878,,263.49,265.6,259.57,223.19,287.43
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment,Sunnyvale,California,United States of America,2008-06-02,0001035267,,532.0,539.94,595.7,460.26,553.77
IVZ,Invesco Ltd.,reports,Financials,Asset Management & Custody Banks,Atlanta,Georgia,United States of America,2008-08-21,0000914208,,19.3,16.08,17.16,8.34,10.39
IPGP,IPG Photonics Corp.,reports,Information Technology,Electronic Manufacturing Services,Oxford,Massachusetts,United States of America,2018-03-07,0001111928,,162.5,137.18,146.99,106.27,157.16
IQV,IQVIA Holdings Inc.,reports,Health Care,Life Sciences Tools & Services,Durham,North Carolina,United States of America,2017-08-29,0001478242,,162.12,149.87,155.23,102.02,137.52
IRM,Iron Mountain Incorporated,reports,Real Estate,Specialized REITs,Boston,Massachusetts,United States of America,2009-01-06,0001020569,,29.06,30.19,30.46,22.46,25.7
JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,Monett,Missouri,United States of America,2018-11-13,0000779152,1976,135.17,145.26,145.72,149.52,181.48
J,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,Dallas,Texas,United States of America,2007-10-26,0000052988,,84.41,91.43,89.5,75.41,84.83
JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,Lowell,Arkansas,United States of America,2015-07-01,0000728535,,91.28,110.3,117.3,88.67,120.08
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,Orrville,Ohio,United States of America,2008-11-06,0000091419,,112.3,107.45,102.52,107.88,105.08
JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,New Brunswick,New Jersey,United States of America,1973-06-30,0000200406,1886,136.38,127.42,143.95,126.82,139.04
JCI,Johnson Controls International,reports,Industrials,Building Products,Cork,Cork,Ireland,2010-08-27,0000833444,,40.52,43.14,40.26,25.6,33.82
JPM,JPMorgan Chase & Co.,reports,Financials,Diversified Banks,New York,New York,United States of America,1975-06-30,0000019617,,108.63,114.39,136.14,83.41,92.1
JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,Sunnyvale,California,United States of America,2006-06-02,0001043604,1996,26.14,24.13,24.37,18.45,22.55
KSU,Kansas City Southern,reports,Industrials,Railroads,Kansas City,Missouri,United States of America,2013-05-24,0000054480,,121.72,132.53,153.14,118.87,147.64
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,Battle Creek,Michigan,United States of America,,0000055067,1906,52.0,62.69,67.88,58.5,65.08
KEY,KeyCorp,reports,Financials,Regional Banks,Cleveland,Ohio,United States of America,1994-03-01,0000091576,,17.09,17.35,19.82,9.48,11.87
KEYS,Keysight Technologies,reports,Information Technology,Electronic Equipment & Instruments,Santa Rosa,California,United States of America,2018-11-06,0001601046,2014,91.9,97.86,103.84,81.19,98.13
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,Irving,Texas,United States of America,,0000055785,1872,130.31,138.54,135.38,123.94,139.45
KIM,Kimco Realty,reports,Real Estate,Retail REITs,New Hyde Park,New York,United States of America,2006-04-04,0000879101,,17.3,19.73,20.18,8.72,12.72
KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,Houston,Texas,United States of America,2012-05-25,0001506307,,19.91,19.86,20.64,12.82,14.66
KLAC,KLA Corporation,reports,Information Technology,Semiconductor Equipment,Milpitas,California,United States of America,,0000319201,1975/1977 (1997),119.41,158.46,179.03,138.03,191.73
KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,Menomonee Falls,Wisconsin,United States of America,,0000885639,1962,45.37,47.64,49.39,13.79,20.66
KHC,Kraft Heinz Co,reports,Consumer Staples,Packaged Foods & Meats,Illinois; Pittsburgh,Pennsylvania,United States of America,2015-07-06,0001637459,2015 (1869),29.5,26.78,31.33,23.71,31.64
KR,Kroger Co.,reports,Consumer Staples,Food Retail,Cincinnati,Ohio,United States of America,,0000056873,1883,21.34,25.43,28.73,30.16,34.13
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,Columbus,Ohio,United States of America,1983-09-30,0000701985,,25.34,19.09,18.03,10.59,15.12
LHX,L3Harris Technologies,reports,Industrials,Aerospace & Defense,Melbourne,Florida,United States of America,,0000202058,,186.74,207.03,196.69,171.26,174.8
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Services,Burlington,North Carolina,United States of America,2004-11-01,0000920148,,174.81,168.01,169.96,119.81,162.03
LW,Lamb Weston Holdings Inc,reports,Consumer Staples,Packaged Foods & Meats,Eagle,Idaho,United States of America,2018-12-03,0001679273,2016 (1950),62.77,72.17,85.22,51.8,63.26
LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,Las Vegas,Nevada,United States of America,2019-10-03,0001300514,1988,59.53,56.23,68.51,40.32,44.65
LEG,Leggett & Platt,reports,Consumer Discretionary,Home Furnishings,Carthage,Missouri,United States of America,,0000058492,1883,37.3,39.77,49.87,25.19,34.61
LDOS,Leidos Holdings,reports,Information Technology,IT Consulting & Other Services,Reston,Virginia,United States of America,2019-08-09,0001336920,1969,79.43,85.17,97.72,87.8,92.2
LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,Miami,Florida,United States of America,2005-10-04,0000920760,,48.57,55.58,55.69,36.16,60.83
LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,Indianapolis,Indiana,United States of America,1970-12-31,0000059478,1876,108.98,110.21,130.48,133.37,162.72
LNC,Lincoln National,reports,Financials,Multi-line Insurance,Radnor,Pennsylvania,United States of America,1976-06-30,0000059558,,62.64,58.77,57.61,23.67,35.33
LIN,Linde plc,reports,Materials,Industrial Gases,Surrey,Surrey,United Kingdom,1992-07-01,0001707925,1879,199.33,191.3,211.58,164.84,211.28
LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,Beverly Hills,California,United States of America,2019-12-23,0001335258,2010,67.2,66.79,72.0,42.29,44.29
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,Chicago,Illinois,United States of America,2016-05-23,0001065696,,26.95,31.63,35.92,19.34,25.83
LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,Bethesda,Maryland,United States of America,1984-07-31,0000936468,,356.69,384.29,388.06,322.87,367.5
L,Loews Corp.,reports,Financials,Multi-line Insurance,New York,New York,United States of America,,0000060086,,54.54,51.42,52.55,32.77,33.69
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,Mooresville,North Carolina,United States of America,1984-02-29,0000060667,1904/1946/1959,100.02,108.43,118.82,80.27,133.52
LYB,LyondellBasell,reports,Materials,Specialty Chemicals,Rotterdam,Rotterdam,Netherlands,2012-09-05,0001489393,,82.33,86.39,92.54,45.58,64.95
MTB,M&T Bank Corp.,reports,Financials,Regional Banks,Buffalo,New York,United States of America,,0000036270,1856,165.99,155.21,167.36,96.97,102.32
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,Houston,Texas,United States of America,1991-05-01,0000101778,,14.39,12.26,13.63,3.22,5.96
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,Findlay,Ohio,United States of America,2011-07-01,0001510295,,54.34,59.15,59.27,21.57,35.4
MKTX,MarketAxess,reports,Financials,Financial Exchanges & Data,New York,New York,United States of America,2019-07-01,0001278021,2000,320.48,324.15,379.14,320.03,498.61
MAR,Marriott Int'l.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Bethesda,Maryland,United States of America,,0001048286,1927,140.82,124.11,150.89,70.0,86.6
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,New York,New York,United States of America,1987-08-31,0000062709,,98.53,99.13,110.56,83.25,105.28
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,Raleigh,North Carolina,United States of America,2014-07-02,0000916076,,229.74,272.44,280.27,181.68,206.5
MAS,Masco Corp.,reports,Industrials,Building Products,Livonia,Michigan,United States of America,1981-06-30,0000062996,,39.15,41.79,47.77,32.87,48.75
MA,Mastercard Inc.,reports,Information Technology,Data Processing & Outsourced Services,Harrison,New York,United States of America,2008-07-18,0001141391,,268.2,270.02,299.2,230.28,292.54
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,Hunt Valley,Maryland,United States of America,,0000063754,1889,152.25,156.43,168.08,136.13,178.76
MXIM,Maxim Integrated Products Inc,reports,Information Technology,Semiconductors,San Jose,California,United States of America,2018-12-03,0000743316,1983,59.47,56.6,61.04,46.91,59.6
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,Chicago,Illinois,United States of America,1970-06-30,0000063908,1940,203.8,207.1,195.47,159.16,182.8
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,Irving,Texas,United States of America,,0000927653,1833,133.5,136.32,138.36,130.12,151.77
MDT,Medtronic plc,reports,Health Care,Health Care Equipment,Dublin,Leinster,Ireland,1986-10-31,0001613103,1949,95.57,106.95,113.01,86.54,90.26
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,Kenilworth,New Jersey,United States of America,,0000310158,1891,81.87,82.27,89.62,74.07,76.12
MET,MetLife Inc.,reports,Financials,Life & Health Insurance,New York,New York,United States of America,,0001099219,1868,48.0,46.06,50.12,28.06,35.57
MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,Columbus,Ohio,United States of America,2016-09-06,0001037646,,853.04,705.44,805.17,667.6,785.24
MGM,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,Paradise,Nevada,United States of America,2017-07-26,0000789570,,28.7,27.57,33.27,11.01,16.82
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,Chandler,Arizona,United States of America,2007-09-07,0000827054,,88.87,93.79,105.23,64.83,102.57
MU,Micron Technology,reports,Information Technology,Semiconductors,Boise,Idaho,United States of America,1994-09-27,0000723125,,41.16,43.1,54.85,40.55,49.15
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,Redmond,Washington,United States of America,1994-06-01,0000789019,1975,134.97,138.42,157.91,152.58,198.44
MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,Memphis,Tennessee,United States of America,2016-12-02,0000912595,,114.83,126.78,130.18,97.32,111.52
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,Calhoun,Georgia,United States of America,2013-12-23,0000851968,,149.0,125.03,136.55,72.67,99.8
TAP,Molson Coors Brewing Company,reports,Consumer Staples,Brewers,Denver,Colorado,United States of America,1976-06-30,0000024545,,54.41,56.4,53.63,37.03,35.42
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,Chicago,Illinois,United States of America,2012-10-02,0001103982,,53.19,54.41,54.42,48.1,50.58
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,Corona,California,United States of America,2012-06-28,0000865752,,63.1,58.09,63.96,54.37,69.11
MCO,Moody's Corp,reports,Financials,Financial Exchanges & Data,New York,New York,United States of America,,0001059556,1909,196.72,204.16,237.67,201.49,269.11
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,New York,New York,United States of America,,0000895421,1935,43.25,41.55,50.42,31.4,47.24
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,Tampa,Florida,United States of America,2011-09-26,0001285785,,25.1,20.45,21.77,10.09,12.65
MSI,Motorola Solutions Inc.,reports,Information Technology,Communications Equipment,Chicago,Illinois,United States of America,,0000068505,1928 (2011),165.33,168.29,160.77,127.62,138.14
MSCI,MSCI Inc,reports,Financials,Financial Exchanges & Data,New York,New York,United States of America,2018-04-04,0001408198,,239.77,216.34,259.03,275.03,325.75
MYL,Mylan N.V.,reports,Health Care,Pharmaceuticals,Amsterdam,Amsterdam,Netherlands,2004-04-23,0001623613,1961,19.34,19.77,20.1,14.59,15.99
NDAQ,"Nasdaq, Inc.",reports,Financials,Financial Exchanges & Data,New York,New York,United States of America,2008-10-22,0001120193,,95.29,97.99,106.32,89.75,117.55
NOV,National Oilwell Varco Inc.,reports,Energy,Oil & Gas Equipment & Services,Houston,Texas,United States of America,2005-03-14,0001021860,,22.54,21.2,24.93,9.47,12.15
NTAP,NetApp,reports,Information Technology,"Technology Hardware, Storage & Peripherals",Sunnyvale,California,United States of America,1999-06-25,0001002047,,59.89,50.98,60.55,39.21,43.54
NFLX,Netflix Inc.,reports,Communication Services,Movies & Entertainment,Los Gatos,California,United States of America,2010-12-20,0001065280,1997,373.5,267.35,326.1,376.05,447.24
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,Atlanta,Georgia,United States of America,1989-04-30,0000814453,,14.73,17.97,18.85,12.32,15.59
NEM,Newmont Corporation,reports,Materials,Gold,Denver,Colorado,United States of America,1969-06-30,0001164727,1921,37.09,37.15,43.24,44.85,59.54
NWSA,News Corp. Class A,reports,Communication Services,Publishing,New York,New York,United States of America,2013-08-01,0001564708,,13.5,13.8,14.03,8.42,11.65
NWS,News Corp. Class B,reports,Communication Services,Publishing,New York,New York,United States of America,2015-09-18,0001564708,,13.94,14.21,14.49,8.6,11.73
NEE,NextEra Energy,reports,Utilities,Multi-Utilities,Juno Beach,Florida,United States of America,1976-06-30,0000753308,,200.0,228.47,239.39,229.69,238.24
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,New York,New York,United States of America,2013-07-09,0001492633,,22.09,21.11,20.23,11.96,14.69
NKE,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Washington County,Oregon,United States of America,1988-11-30,0000320187,,84.05,93.39,100.83,79.29,95.87
NI,NiSource Inc.,reports,Utilities,Multi-Utilities,Merrillville,Indiana,United States of America,,0001111711,1912,27.93,29.24,27.52,23.8,22.69
NBL,Noble Energy Inc,reports,Energy,Oil & Gas Exploration & Production,Houston,Texas,United States of America,2007-10-08,0000072207,,22.54,22.33,24.59,5.68,8.65
JWN,Nordstrom,reports,Consumer Discretionary,Department Stores,Seattle,Washington,United States of America,1986-08-31,0000072333,,31.05,33.01,40.56,14.5,15.79
NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,Norfolk,Virginia,United States of America,,0000702165,1881/1894 (1980),196.92,177.7,193.11,137.91,172.68
NTRS,Northern Trust Corp.,reports,Financials,Asset Management & Custody Banks,Chicago,Illinois,United States of America,,0000073124,1889,88.06,91.7,104.64,70.68,76.3
NOC,Northrop Grumman,reports,Industrials,Aerospace & Defense,West Falls Church,Virginia,United States of America,1985-06-30,0001133421,,320.09,371.62,341.74,292.61,309.02
NLOK,NortonLifeLock,reports,Information Technology,Application Software,Tempe,Arizona,United States of America,2003-03-25,0000849399,,12.52,13.49,14.62,18.05,19.43
NCLH,Norwegian Cruise Line Holdings,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Miami,Florida,United States of America,2017-10-13,0001513761,,54.3,52.0,58.79,10.5,16.56
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,Princeton,New Jersey,United States of America,2010-01-29,0001013871,,34.6,38.85,39.17,26.1,32.94
NUE,Nucor Corp.,reports,Materials,Steel,Charlotte,North Carolina,United States of America,1985-04-30,0000073309,,53.57,50.03,55.59,33.83,40.9
NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,Santa Clara,California,United States of America,2001-11-30,0001045810,,172.09,174.69,238.5,255.53,368.0
NVR,NVR Inc,reports,Consumer Discretionary,Homebuilding,Reston,Virginia,United States of America,2019-09-26,0000906163,1980,3396.99,3715.1,3777.0,2502.0,3190.77
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,Springfield,Missouri,United States of America,2009-03-27,0000898173,,373.0,400.04,438.5,288.42,422.39
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,Houston,Texas,United States of America,1982-12-31,0000797468,,47.63,42.45,40.38,11.03,17.86
ODFL,Old Dominion Freight Line,reports,Industrials,Trucking,Thomasville,North Carolina,United States of America,2019-12-09,0000878927,1934,99.74,113.62,126.58,126.86,164.67
OMC,Omnicom Group,reports,Communication Services,Advertising,New York,New York,United States of America,,0000029989,1986,79.69,76.47,79.45,51.71,54.29
OKE,ONEOK,reports,Energy,Oil & Gas Storage & Transportation,Tulsa,Oklahoma,United States of America,2010-03-15,0001039684,,64.89,69.78,72.59,19.84,31.81
ORCL,Oracle Corp.,reports,Information Technology,Application Software,Redwood Shores,California,United States of America,1989-08-31,0001341439,,56.15,54.29,52.78,46.33,54.76
PCAR,PACCAR Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,Bellevue,Washington,United States of America,1980-12-31,0000075362,,69.36,67.32,78.49,58.96,73.68
PKG,Packaging Corporation of America,reports,Materials,Paper Packaging,Lake Forest,Illinois,United States of America,2017-07-26,0000075677,,93.88,104.41,110.94,83.1,98.02
PH,Parker-Hannifin,reports,Industrials,Industrial Machinery,Cleveland,Ohio,United States of America,1985-11-30,0000076334,,169.3,179.68,204.96,120.13,179.57
PAYX,Paychex Inc.,reports,Information Technology,Data Processing & Outsourced Services,Penfield,New York,United States of America,,0000723531,1971,80.71,81.14,84.05,58.82,73.72
PAYC,Paycom,reports,Information Technology,Application Software,Oklahoma City,Oklahoma,United States of America,2020-01-28,0001590955,1998,230.62,209.5,266.92,193.0,300.36
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,San Jose,California,United States of America,2015-07-20,0001633917,1998,116.72,104.0,109.47,92.72,168.35
PNR,Pentair plc,reports,Industrials,Industrial Machinery,Worsley,Worsley,United Kingdom,2012-10-01,0000077360,,36.87,37.44,45.61,28.23,37.37
PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,Bridgeport,Connecticut,United States of America,2008-11-13,0001378946,,16.19,15.17,16.58,10.37,11.31
PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,Purchase,New York,United States of America,,0000077476,1898,128.3,134.03,134.9,116.37,131.08
PKI,PerkinElmer,reports,Health Care,Health Care Equipment,Waltham,Massachusetts,United States of America,1985-05-31,0000031791,,97.42,85.11,98.1,72.49,95.73
PRGO,Perrigo,reports,Health Care,Pharmaceuticals,Dublin,Leinster,Ireland,2011-12-19,0001585364,,47.7,55.3,51.23,46.86,54.56
PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,New York,New York,United States of America,,0000078003,1849,41.85,34.88,38.52,31.61,32.64
PM,Philip Morris International,reports,Consumer Staples,Tobacco,New York,New York,United States of America,2008-03-31,0001413329,,73.94,72.69,82.69,68.68,70.51
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing,Houston,Texas,United States of America,2012-05-01,0001534701,,91.2,100.09,109.57,50.82,68.66
PNW,Pinnacle West Capital,reports,Utilities,Multi-Utilities,Phoenix,Arizona,United States of America,,0000764622,1985,90.89,94.28,88.51,71.82,72.96
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,Irving,Texas,United States of America,2008-09-24,0001038357,,153.26,124.8,149.92,66.51,94.44
PNC,PNC Financial Services,reports,Financials,Regional Banks,Pittsburgh,Pennsylvania,United States of America,1988-04-30,0000713676,,133.55,137.35,156.72,88.96,102.83
PPG,PPG Industries,reports,Materials,Specialty Chemicals,Pittsburgh,Pennsylvania,United States of America,,0000079879,1883,115.53,117.43,132.65,80.11,103.94
PPL,PPL Corp.,reports,Utilities,Electric Utilities,Allentown,Pennsylvania,United States of America,,0000922224,,29.51,30.29,35.04,23.41,25.76
PFG,Principal Financial Group,reports,Financials,Life & Health Insurance,Des Moines,Iowa,United States of America,2002-07-22,0001126328,,55.89,55.53,54.02,28.97,40.35
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,Cincinnati,Ohio,United States of America,,0000080424,1837,107.16,122.03,122.94,107.23,117.66
PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,Mayfield Village,Ohio,United States of America,1997-08-04,0000080661,,78.03,74.89,71.44,71.18,78.3
PLD,Prologis,reports,Real Estate,Industrial REITs,San Francisco,California,United States of America,2003-07-17,0001045609,,78.77,83.52,88.38,75.98,91.17
PRU,Prudential Financial,reports,Financials,Life & Health Insurance,Newark,New Jersey,United States of America,2002-07-22,0001137774,,96.98,87.05,91.18,47.57,59.2
PEG,Public Serv. Enterprise Inc.,reports,Utilities,Electric Utilities,Newark,New Jersey,United States of America,,0000788784,,56.85,60.3,58.05,42.66,49.21
PSA,Public Storage,reports,Real Estate,Specialized REITs,Glendale,California,United States of America,2005-08-19,0001393311,,230.48,235.85,209.54,190.3,191.1
PHM,PulteGroup,reports,Consumer Discretionary,Homebuilding,Atlanta,Georgia,United States of America,1984-04-30,0000822416,,31.56,36.21,38.61,20.82,33.5
PVH,PVH Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York,New York,United States of America,2013-02-15,0000078239,,97.02,88.57,105.82,35.33,48.67
QRVO,Qorvo,reports,Information Technology,Semiconductors,Greensboro,North Carolina,United States of America,2015-06-11,0001604778,2015,71.93,74.32,117.26,77.84,107.43
QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,San Diego,California,United States of America,,0000804328,1985,78.19,75.28,87.67,64.5,89.01
DGX,Quest Diagnostics,reports,Health Care,Health Care Services,Secaucus,New Jersey,United States of America,2002-12-12,0001022079,,99.78,105.05,104.92,75.35,109.9
RL,Ralph Lauren Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York,New York,United States of America,2007-02-02,0001037038,,112.98,94.3,116.8,63.75,72.57
